qualification,textMessage
ASESORAMIENTO,Hola buen día podría darme más información acerca del caso ?
VERIFICACIÓN DE NÚMERO,Numero equivocado.no molestar
ASESORAMIENTO,Expliqueme por favor
CONFIRMADOS,Electro Oriente le informa que se viene realizando los cortes del servicio de energia electrica por mantener deuda pendiente; Si ya pago omita este mensaje.
RENUENTE,no voy a pagar 
NO DESEADO,Por favor no me molesten 
ASESORAMIENTO,Esta deuda esta ya prescrita.
ASESORAMIENTO,Quiero señorita 
NO APLICA,Sinestoyninteresado
NO DESEADO,Bvskenlo y dejen de joder
VERIFICACIÓN DE NÚMERO,o moleste a este número 
VERIFICACIÓN DE NÚMERO,buenas tardes pero me parece que se equivoco pero le hablan de la empresa FUMIPERU FIRE SAC
RENUENTE,yo no debo ni un put. Sol ya deje de enviar mensaje 
NO APLICA,Esto es su numero de mayumi
VERIFICACIÓN DE NÚMERO,De quien es ese numero 
PREVENCIÓN,Se}or no me incomoda por favor sino este numero estar¿ denunciando a opsitel por molestarme cada rato
ASESORAMIENTO,De que deuda dice ud 
RENUENTE,Proble.as legales con kien.ahhh.
ASESORAMIENTO,Si buenas como aria
ASESORAMIENTO,Gracias por la oportunidad 
ASESORAMIENTO,Sr me puedes decir que banco y cuanto. Es. El monto 
ASESORAMIENTO,Saver
VERIFICACIÓN DE NÚMERO,Yo no soy Karen
ASESORAMIENTO,Quiero información
NO APLICA,Porque no me va alcanzar la hora
NO APLICA,*265 (enviado con grito)
ASESORAMIENTO,Sr ya coordine con mi asesor 
ASESORAMIENTO,Hola dígame para que soy buena 
VERIFICACIÓN DE NÚMERO,No conozco a esa persona soy julio y te equivocaste de numero gracias.
VERIFICACIÓN DE NÚMERO,Disculpe ? Señora penadillo? 
RENUENTE,Que conccionarios estan los modelos
ASESORAMIENTO,No debo anadie solo adiós mivida
COMPROMISO,Y lo cancelare en la trde porfaaa
CONFIRMADOS,Ya lo Ise a yer lo encargado que le cansele que no. Lo isieron
ASESORAMIENTO,Buenas tardes puede indicar el monto de la deuda ???
ASESORAMIENTO,"Yo no hago prestamo,a nadies ni al banco peor al vecino,cobra a lo que te debe"
NO DESEADO,No te olvides por favor 
VERIFICACIÓN DE NÚMERO,x q no lo buscas a ese señor dejan de enviar mensajes ami celu
RENUENTE,Buenas tarde soy hermana mi hermano esta en tratamiento  en el hospital sabogal 
ASESORAMIENTO,Ya que hago
VERIFICACIÓN DE NÚMERO,Numero equivocado por favor deje de enviar mensajes desde ayer estan qué envian 
NO DESEADO,Dejen de molestar delincuentes
NO DESEADO,Rata ctm hijo de puta 
NO APLICA,"TEAPUESTO: Empezo el entretiempo del LDU-Sao Paulo! Aprovecha y gana hasta S/1,000 en Cash Back sin Rollover con Casino! Juega HOY desde S/50>cutt.ly/owjxMU5e"
COMPROMISO,"Amigo yo siempre pago los 29, gracias "
ASESORAMIENTO, yo quisiera  q me den solucion  yo quiero pagar no quiero deber ya
VERIFICACIÓN DE NÚMERO,"Ya me tienen cansado con sus llamadas, le vuelvo a repetir que tomaron mi numero o se equivocaron, no hagan que los denuncio en el organismo regulador."
NO DESEADO,A tu mamá le operarán de culo 
ASESORAMIENTO,"Ni hay tiendas Kia por mi ciudad, ¿algún número para comunicarme?"
NO APLICA,4bd72cf43518fc7cb6645f77bd7df9799e182fe74b55ac62ea  65 kB Vence el 
ASESORAMIENTO,Conquien tengo el gusto por fa 
NO DESEADO,Lo q yo se q mi mama no  les presto bastante y ella  hasta donde yo se   k si les cancelaba  yo no se nada mas   este nro lo tengo  yo su hija x favor
ASESORAMIENTO,Yo no tengo ningun crédito en caja sullana 
NO APLICA,Q cuandi
NO APLICA,Informé 
NO APLICA,Cuando en Peru gano el comunismo todo se fue al diablo
